image_path,masked_image_path,tumor
image_494.tif,image_494.tif,1
image_2943.tif,image_2943.tif,0
image_3196.tif,image_3196.tif,1
image_2443.tif,image_2443.tif,1
image_690.tif,image_690.tif,0
image_2766.tif,image_2766.tif,0
image_353.tif,image_353.tif,0
image_3492.tif,image_3492.tif,1
image_1809.tif,image_1809.tif,0
image_532.tif,image_532.tif,0
image_3149.tif,image_3149.tif,1
image_2796.tif,image_2796.tif,0
image_3918.tif,image_3918.tif,1
image_1855.tif,image_1855.tif,0
image_2438.tif,image_2438.tif,1
image_1350.tif,image_1350.tif,0
image_1801.tif,image_1801.tif,0
image_514.tif,image_514.tif,0
image_1299.tif,image_1299.tif,1
image_1623.tif,image_1623.tif,1
image_2909.tif,image_2909.tif,0
image_2959.tif,image_2959.tif,1
image_3220.tif,image_3220.tif,1
image_218.tif,image_218.tif,1
image_577.tif,image_577.tif,1
image_1896.tif,image_1896.tif,0
image_2815.tif,image_2815.tif,0
image_2763.tif,image_2763.tif,1
image_3870.tif,image_3870.tif,1
image_2546.tif,image_2546.tif,0
image_3531.tif,image_3531.tif,0
image_2912.tif,image_2912.tif,0
image_3718.tif,image_3718.tif,0
image_2281.tif,image_2281.tif,1
image_3737.tif,image_3737.tif,1
image_2370.tif,image_2370.tif,0
image_3397.tif,image_3397.tif,1
image_67.tif,image_67.tif,0
image_2980.tif,image_2980.tif,1
image_36.tif,image_36.tif,0
image_2286.tif,image_2286.tif,1
image_2555.tif,image_2555.tif,1
image_2368.tif,image_2368.tif,1
image_3642.tif,image_3642.tif,1
image_254.tif,image_254.tif,0
image_901.tif,image_901.tif,0
image_3435.tif,image_3435.tif,0
image_3546.tif,image_3546.tif,1
image_2719.tif,image_2719.tif,1
image_2309.tif,image_2309.tif,0
image_2673.tif,image_2673.tif,1
image_2007.tif,image_2007.tif,1
image_222.tif,image_222.tif,1
image_3453.tif,image_3453.tif,1
image_2044.tif,image_2044.tif,1
image_2596.tif,image_2596.tif,0
image_336.tif,image_336.tif,1
image_1086.tif,image_1086.tif,0
image_2326.tif,image_2326.tif,0
image_153.tif,image_153.tif,0
image_860.tif,image_860.tif,0
image_688.tif,image_688.tif,0
image_214.tif,image_214.tif,0
image_2052.tif,image_2052.tif,1
image_2252.tif,image_2252.tif,0
image_3077.tif,image_3077.tif,1
image_3603.tif,image_3603.tif,1
image_1428.tif,image_1428.tif,0
image_3441.tif,image_3441.tif,1
image_2066.tif,image_2066.tif,0
image_1902.tif,image_1902.tif,1
image_1647.tif,image_1647.tif,1
image_2342.tif,image_2342.tif,1
image_3888.tif,image_3888.tif,1
image_653.tif,image_653.tif,0
image_900.tif,image_900.tif,0
image_2036.tif,image_2036.tif,0
image_2821.tif,image_2821.tif,0
image_1249.tif,image_1249.tif,0
image_3851.tif,image_3851.tif,1
image_1248.tif,image_1248.tif,0
image_1930.tif,image_1930.tif,0
image_2201.tif,image_2201.tif,1
image_745.tif,image_745.tif,0
image_1423.tif,image_1423.tif,0
image_3335.tif,image_3335.tif,0
image_1986.tif,image_1986.tif,0
image_2333.tif,image_2333.tif,1
image_189.tif,image_189.tif,0
image_2611.tif,image_2611.tif,0
image_3464.tif,image_3464.tif,0
image_3686.tif,image_3686.tif,0
image_195.tif,image_195.tif,0
image_3329.tif,image_3329.tif,1
image_2734.tif,image_2734.tif,1
image_1758.tif,image_1758.tif,1
image_1506.tif,image_1506.tif,0
image_1160.tif,image_1160.tif,0
image_1353.tif,image_1353.tif,0
image_2470.tif,image_2470.tif,0
image_360.tif,image_360.tif,1
image_1431.tif,image_1431.tif,0
image_2667.tif,image_2667.tif,1
image_3644.tif,image_3644.tif,0
image_3375.tif,image_3375.tif,1
image_1699.tif,image_1699.tif,0
image_681.tif,image_681.tif,0
